
C:\Users\fff\Documents\SportsMate>python Main.py


Are you sure you want to receive new ranking data? (y/n) n


--------------------------------------------------          National Basketball Association           --------------------------------------------------

53. [         Lewis Flyers         ] vs [       Rockhurst Hawks        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

54. [Southeastern Oklahoma State Savage Storm] vs [   Ouachita Baptist Tigers    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

55. [  Auburn-Montgomery Warhawks  ] vs [    West Florida Argonauts    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

56. [        Cameron Aggies        ] vs [Texas A&M International Dustdevils] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

57. [     West Alabama Tigers      ] vs [Christian Brothers Buccaneers ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

58. [  Louisiana Monroe Warhawks   ] vs [Louisiana Lafayette Ragin Cajuns] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

59. [Northeastern State Riverhawks ] vs [         Newman Jets          ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

60. [   Nebraska–Kearney Lopers    ] vs [Missouri Southern State Lions ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

61. [     Missouri S&T Miners      ] vs [        Drury Panthers        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

62. [    Oklahoma Baptist Bison    ] vs [ Southern Arkansas Muleriders ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

63. [    Fort Hays State Tigers    ] vs [   Pittsburg State Gorillas   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

64. [     East Central Tigers      ] vs [   Henderson State Reddies    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

65. [St. Mary&apos;s Texas Rattlers] vs [   West Texas A&M Buffaloes   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

66. [    St Edwards Hilltoppers    ] vs [ Lubbock Christian Chaparrals ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

67. [      Washburn Ichabods       ] vs [ Lincoln Missouri Blue Tigers ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

68. [  Midwestern State Mustangs   ] vs [Texas AM Kingsville Javelinas ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

69. [    Tennessee State Tigers    ] vs [  Eastern Illinois Panthers   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

70. [ Tennessee Tech Golden Eagles ] vs [   SIU Edwardsville Cougars   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

71. [       Maryville Saints       ] vs [  Southwest Baptist Bearcats  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

72. [Southern Nazarene Crimson Storm] vs [Arkansas Monticello Boll Weevils] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

73. [      Montevallo Falcons      ] vs [    Valdosta State Blazers    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

74. [    Truman State Bulldogs     ] vs [Illinois Springfield Prairie Stars] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

75. [Northwestern Oklahoma State Rangers] vs [        Harding Bisons        ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

76. [    Montana State Bobcats     ] vs [    Portland State Vikings    ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

77. [      Montana Grizzlies       ] vs [   Sacramento State Hornets   ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

78. [   New Mexico State Aggies    ] vs [  Sam Houston State Bearkats  ] : Q1, QuarterTotal - x, QuarterML - x, Halftime - x swap-False

